id	venue_name	slug	profile_tier	listing_status	venue_type	city	neighborhood	address	latitude	longitude	website	instagram	banner_image_url	banner_image_alt	ticker_text	karaoke_day	start_time	end_time	host_name	vibe_tags	description	specials	happy_hour	food_highlights	drink_highlights	parking_info	age_policy	accessibility_notes	cover_charge	reservation_link	booking_contact	is_featured	confidence_score	confidence_notes	source_1	source_2	source_3	last_verified
venue-0002	The Lamplighter	the-lamplighter	basic	verified	live_bar	San Diego	Mission Hills	817 W Washington St, San Diego, CA	32.7508	-117.1717	https://www.thelamplightersd.com/					Daily: weekdays 9 PM-2 AM; weekends 8 PM-2 AM	Weekdays 9:00 PM; weekends 8:00 PM	2:00 AM	Rotating KJs: Leo, Ryan, America, Raya	Mission Hills, live karaoke	Mission Hills karaoke staple with nightly karaoke.											TRUE	95	Public listing data refreshed for SingHUB finder coverage.	SingHUB public data refresh 2026-07-16			2026-07-16
venue-0006	JT's Tavern	jts-tavern	premium	ai_scouted	live_bar	San Diego	Mission Gorge / Grantville	5821 Mission Gorge Rd, San Diego, CA 92120	32.7809	-117.0983		@jts_tavern				Sunday, Monday, Thursday	9:00 PM	last call	Chad	Mission Gorge / Grantville, Sunday karaoke, Monday karaoke, Thursday karaoke	Mission Gorge / Grantville tavern with Thursday karaoke.											TRUE	88	Public listing data refreshed for SingHUB finder coverage.	SingHUB public data refresh 2026-07-16			2026-07-16
venue-0016	The Cordova Bar	cordova-bar	premium	verified	live_bar	San Diego	Bay Park	1319 Morena Blvd, San Diego, CA 92110	32.7678	-117.2028	https://www.thecordovabar.com/	https://www.instagram.com/thecordovabar				Tuesday	8:00 PM	12:00 AM	Savor Entertainment	Bay Park, Tuesday karaoke, live karaoke	Bay Park Tuesday karaoke with Savor Entertainment.											TRUE	96	Venue profile image intentionally blank; prior event flyer was one-time only.	SingHUB public data refresh 2026-07-16			2026-07-16
venue-0027	Cheers Bar San Diego	cheers-bar-san-diego	basic	verified	live_bar	San Diego	Normal Heights / Adams Avenue	1839 Adams Avenue, San Diego, CA, USA	32.7634	-117.1455	https://cheerssandiego.com/					Monday, Wednesday	8:00 PM	1:00 AM	Ed and Katie	Normal Heights / Adams Avenue, Monday, Wednesday karaoke, live karaoke	Normal Heights / Adams Avenue bar with karaoke Monday and Wednesday.											FALSE	95	Public listing data refreshed for SingHUB finder coverage.	SingHUB public data refresh 2026-07-16			2026-07-16
venue-0030	Winstons Beach Club	winstons-beach-club	basic	verified	live_bar	San Diego	Ocean Beach	1921 Bacon St, San Diego, CA 92107	32.7468	-117.2505						Friday	9:30 PM	TBD	Corey Glasper	Ocean Beach, Friday karaoke, live karaoke	Ocean Beach Friday karaoke night.											FALSE	90	Public listing data refreshed for SingHUB finder coverage.	SingHUB public data refresh 2026-07-16			2026-07-16
venue-0039	Redwing Bar & Grill	redwing-bar-grill	basic	verified	live_bar	San Diego	North Park	4012 30th St, San Diego, CA 92104	32.7507	-117.1303		@redwingbar				Friday, Saturday	8:00 PM	last call	Bryon.Bea	North Park, Friday karaoke, Saturday karaoke, live karaoke	North Park Friday and Saturday karaoke.											FALSE	92	Public listing data refreshed for SingHUB finder coverage.	SingHUB public data refresh 2026-07-16			2026-07-16
venue-0047	Star Bar	star-bar	basic	verified	live_bar	San Diego	Gaslamp	San Diego - Gaslamp	32.7133	-117.1601						Sunday-Thursday	9:00 PM	1:30 AM	Teddy on Thursday; other hosts vary	Gaslamp, Sunday-Thursday karaoke, live karaoke	Gaslamp karaoke Sunday through Thursday.											FALSE	92	Public listing data refreshed for SingHUB finder coverage.	SingHUB public data refresh 2026-07-16			2026-07-16
venue-0077	Diversionary Theatre / Clark Cabaret & Bar	diversionary-theatre-clark-cabaret-bar	basic	verified	live_bar	San Diego	University Heights	4545 Park Blvd #101, San Diego, CA 92116	32.7604	-117.1462	https://www.diversionary.org/events/karaoke-night-7					Friday	10:00 PM	TBD	TBD	University Heights, Friday karaoke, live karaoke	University Heights Friday karaoke night.											FALSE	90	Public listing data refreshed for SingHUB finder coverage.	SingHUB public data refresh 2026-07-16			2026-07-16
venue-0078	Good News Bar	good-news-bar	basic	verified	live_bar	San Diego	University Heights / Park Blvd	3821 Park Blvd, San Diego, CA	32.7478	-117.1465						1st and 3rd Wednesday	6:00 PM	10:00 PM	TBD	University Heights / Park Blvd, 1st and 3rd Wednesday karaoke, live karaoke	Park Blvd karaoke on the 1st and 3rd Wednesday.											FALSE	90	Public listing data refreshed for SingHUB finder coverage.	SingHUB public data refresh 2026-07-16			2026-07-16
venue-0079	The Scoreboard Imperial Beach Sports Bar & Grill	the-scoreboard-imperial-beach-sports-bar-grill	basic	verified	live_bar	Imperial Beach	Imperial Beach / South Bay	951 Palm Ave, Imperial Beach, CA	32.5852	-117.1107		@ibscoreboard				Friday	8:00 PM	12:00 AM	DJ 2Cold	Imperial Beach / South Bay, Friday karaoke, live karaoke	Imperial Beach Friday karaoke.											FALSE	95	Public listing data refreshed for SingHUB finder coverage.	SingHUB public data refresh 2026-07-16			2026-07-16
venue-0080	The Mesa	the-mesa-la-mesa	basic	verified	live_bar	San Diego	College Area / La Mesa	6164 El Cajon Blvd, San Diego, CA 92115	32.7628	-117.0664	https://www.mesabargrill.com/	@themesasd_				Wednesday	8:00 PM	last call	Bryon.Bea	College Area / La Mesa, Wednesday karaoke, live karaoke	Wednesday karaoke near La Mesa.											FALSE	92	Public listing data refreshed for SingHUB finder coverage.	SingHUB public data refresh 2026-07-16			2026-07-16
